team_stats_name,team
Milwaukee Bucks,Milwaukee
Golden State Warriors,Golden State
Toronto Raptors,Toronto
Utah Jazz,Utah
Houston Rockets,Houston
Portland Trail Blazers,Portland
Denver Nuggets,Denver
Boston Celtics,Boston
Oklahoma City Thunder,Oklahoma City
Indiana Pacers,Indiana
Philadelphia 76ers,Philadelphia
San Antonio Spurs,San Antonio
Los Angeles Clippers,LA Clippers
Orlando Magic,Orlando
Brooklyn Nets,Brooklyn
Miami Heat,Miami
Detroit Pistons,Detroit
Sacramento Kings,Sacramento
Dallas Mavericks,Dallas
Minnesota Timberwolves,Minnesota
New Orleans Pelicans,New Orleans
Charlotte Hornets,Charlotte
Los Angeles Lakers,LA Lakers
Memphis Grizzlies,Memphis
Washington Wizards,Washington
Atlanta Hawks,Atlanta
Chicago Bulls,Chicago
Phoenix Suns,Phoenix
New York Knicks,New York
Cleveland Cavaliers,Cleveland
